PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=1086 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=1185 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=1300 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=1390 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=1371 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=1224 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=1108 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=1077 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=1024 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=1017 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=1008 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=968 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=966 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=971 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=968 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=970 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=954 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=946 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=956 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=943 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=984 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=1002 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=994 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=991 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=996 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=997 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=989 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=1002 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=995 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=994 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=978 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=973 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=979 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=978 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=983 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=963 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=956 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=964 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=956 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=959 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=956 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=943 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=943 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=893 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=849 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=787 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=739 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=713 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=720 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=717 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=722 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=731 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=726 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=722 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=734 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=802 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=809 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=800 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=799 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=789 ms

--- 10.0.0.2 ping statistics ---
100 packets transmitted, 60 received, 40% packet loss, time 10233ms
rtt min/avg/max/mdev = 712.780/949.353/1390.423/149.094 ms, pipe 14
